"Range","REF","PropertyName","PropertyDescription","PropertyDescriptionShort","PropertyFilter","PropertyFilterShort","Source","SectorCount","PublicCount","Type","Subtype","Year","YearDesc","File","Field","DataType","DataTypeAlt","RecordFilterBy","Filter","FilterValue","Filter2","Filter2Value","Filter3","Filter3Value","Filter4","Filter4Value","Filter5","Filter5Value","ShouldBeNormalised","NormalisedLookup","CompoundFields","ReturnMultipleRecords","IgnoreMapping"
"England","","ReadingScaledScore_NMo_Cohort_Eng_Current_Num","EnglandPerformance ReadingScaledScore_NMo_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","ReadingScaledScore_NMo_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","ReadingScaledScore_Mob_Cohort_Eng_Current_Num","EnglandPerformance ReadingScaledScore_Mob_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","ReadingScaledScore_Mob_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","MathsScaledScore_Tot_Cohort_Eng_Current_Num","EnglandPerformance MathsScaledScore_Tot_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","MathsScaledScore_Tot_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","MathsScaledScore_Boy_Cohort_Eng_Current_Num","EnglandPerformance MathsScaledScore_Boy_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","MathsScaledScore_Boy_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","MathsScaledScore_Grl_Cohort_Eng_Current_Num","EnglandPerformance MathsScaledScore_Grl_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","MathsScaledScore_Grl_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","MathsScaledScore_Dis_Cohort_Eng_Current_Num","EnglandPerformance MathsScaledScore_Dis_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","MathsScaledScore_Dis_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","MathsScaledScore_NDi_Cohort_Eng_Current_Num","EnglandPerformance MathsScaledScore_NDi_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","MathsScaledScore_NDi_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","MathsScaledScore_SENEHC_Cohort_Eng_Current_Num","EnglandPerformance MathsScaledScore_SENEHC_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","MathsScaledScore_SENEHC_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","MathsScaledScore_SENSup_Cohort_Eng_Current_Num","EnglandPerformance MathsScaledScore_SENSup_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","MathsScaledScore_SENSup_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","MathsScaledScore_NoSEN_Cohort_Eng_Current_Num","EnglandPerformance MathsScaledScore_NoSEN_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","MathsScaledScore_NoSEN_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","MathsScaledScore_EFL_Cohort_Eng_Current_Num","EnglandPerformance MathsScaledScore_EFL_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","MathsScaledScore_EFL_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","MathsScaledScore_EAL_Cohort_Eng_Current_Num","EnglandPerformance MathsScaledScore_EAL_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","MathsScaledScore_EAL_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","MathsScaledScore_NMo_Cohort_Eng_Current_Num","EnglandPerformance MathsScaledScore_NMo_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","MathsScaledScore_NMo_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","MathsScaledScore_Mob_Cohort_Eng_Current_Num","EnglandPerformance MathsScaledScore_Mob_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","MathsScaledScore_Mob_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","GpsExpected_Tot_Cohort_Eng_Current_Num","EnglandPerformance GpsExpected_Tot_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","GpsExpected_Tot_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","GpsExpected_Boy_Cohort_Eng_Current_Num","EnglandPerformance GpsExpected_Boy_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","GpsExpected_Boy_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","GpsExpected_Grl_Cohort_Eng_Current_Num","EnglandPerformance GpsExpected_Grl_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","GpsExpected_Grl_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","GpsExpected_Dis_Cohort_Eng_Current_Num","EnglandPerformance GpsExpected_Dis_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","GpsExpected_Dis_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","GpsExpected_NDi_Cohort_Eng_Current_Num","EnglandPerformance GpsExpected_NDi_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","GpsExpected_NDi_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","GpsExpected_SENEHC_Cohort_Eng_Current_Num","EnglandPerformance GpsExpected_SENEHC_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","GpsExpected_SENEHC_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","GpsExpected_SENSup_Cohort_Eng_Current_Num","EnglandPerformance GpsExpected_SENSup_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","GpsExpected_SENSup_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","GpsExpected_NoSEN_Cohort_Eng_Current_Num","EnglandPerformance GpsExpected_NoSEN_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","GpsExpected_NoSEN_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","GpsExpected_EFL_Cohort_Eng_Current_Num","EnglandPerformance GpsExpected_EFL_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","GpsExpected_EFL_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","GpsExpected_EAL_Cohort_Eng_Current_Num","EnglandPerformance GpsExpected_EAL_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","GpsExpected_EAL_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","GpsExpected_NMo_Cohort_Eng_Current_Num","EnglandPerformance GpsExpected_NMo_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","GpsExpected_NMo_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","GpsExpected_Mob_Cohort_Eng_Current_Num","EnglandPerformance GpsExpected_Mob_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","GpsExpected_Mob_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
